out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
va100m,day,m s-1,Northward Wind at 100m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height100m,real,,,,,
ta250,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
hus250,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
clwvi,mon,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va200,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
zg10,day,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
hus700,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
hus50m,day,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus10,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p10,real,,,,,
rsutcs,mon,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua750,mon,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
ua750,6hr,m s-1,Eastward Wind,eastward_wind,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
mrsofc,fx,kg m-2,Capacity of Soil to Store Water  (Field Capacity),soil_moisture_content_at_field_capacity,TIER2,,area: mean where land,area: areacella,longitude latitude,real,,,,,
siconca,day,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rluscs,6hr,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
ua150,day,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
hus50,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
cinmax,day,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,area: mean time: maximum,area: areacella,longitude latitude time,real,,,,,
va600,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
hfls,mon,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
wa10,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
prsn,day,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,
mrro,day,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
zg50,day,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
mrsfl,day,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl 2022.09.22 https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
ua500,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
rsdt,1hr,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsuscs,6hr,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsut,mon,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta300,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
va925,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
siconca,mon,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
mrsfl,mon,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va150m,mon,m s-1,Northward Wind at 150m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height150m,real,,,,,
wa850,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
sftlaf,fx,%,Percentage of the Grid Cell Occupied by Lake,area_fraction,TIER2,not in CMIP or in CF,area: mean where fresh_free_water,area: areacella,longitude latitude,real,,,,,
prsn,1hr,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta400,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
va750,6hr,m s-1,Northward Wind,northward_wind,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
ua200,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ta700,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
clh,day,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rldscs,6hr,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
cll,6hr,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,below 680 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
wa200,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ta1000,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
snd,mon,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
ta150,mon,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
clm,day,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,between 680 and 440 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg925,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
tsl,day,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
tsl,mon,K,Temperature of Soil,soil_temperature,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
va300,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
wa300,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
va500,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
hus600,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
va50,day,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
wa50,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
zg1000,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
huss,day,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
ua150,mon,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
va250m,1hr,m s-1,Northward Wind at 250m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height250m,real,,,,,
prw,1hr,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
mrfsos,1hr,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
hus850,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ta1000,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ps,day,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua850,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
cinmax,mon,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time,real,,,,,
va250,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p250,real,,,,,
clm,mon,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,between 680 and 440 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua300,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
wa850,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
rlutcs,day,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta925,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
va300,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
evspsblpot,day,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,TIER2,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snd,day,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
hus750,mon,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
prhmax,mon,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour.,area: mean time: mean within hours time: maximum over hours,area: areacella,longitude latitude time,real,,,,,
rsdscs,mon,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
zg150,6hr,m,Geopotential Height,geopotential_height,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
wa300,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
hus600,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
ta70,6hr,K,Air Temperature,air_temperature,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p70,real,,,,,
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
hus925,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
ua200,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
zg750,6hr,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
z0,mon,m,Surface Roughness Length,surface_roughness_length,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,mon,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va250m,mon,m s-1,Northward Wind at 250m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height250m,real,,,,,
ua1000,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
hus850,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
mrros,6hr,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
zg850,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
clivi,mon,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
mrsol,day,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
ua400,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
wa70,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
rsdsdir,day,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ua70,mon,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
prw,mon,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rlut,mon,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua50,6hr,m s-1,Eastward Wind,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p50,real,,,,,
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
va300m,1hr,m s-1,Northward Wind at 350m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height300m,real,,,,,
rlus,day,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsdscs,6hr,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ta500,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua250,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
ta700,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
cin,day,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg1000,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ta10,mon,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
va100m,mon,m s-1,Northward Wind at 100m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height100m,real,,,,,
wa600,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
zg850,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ta300,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
va1000,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
cape,day,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
hus700,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ua100,mon,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
rsus,day,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hus250,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
wa200,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
va100,day,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
va400,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
hus100,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
sfturf,fx,%,Percentage of the Grid Cell Occupied by Urban Area,area_fraction,TIER2,not in CMIP or in CF,area: mean where urban,area: areacella,longitude latitude,real,,,,,
zg250,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
zg200,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ta925,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
zg700,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
wa250,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
wa50,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
cin,1hr,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
hus500,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ua200m,day,m s-1,Eastward Wind at 200m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height200m,real,,,,,
ua100m,mon,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height100m,real,,,,,
evspsblpot,mon,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,TIER2,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
wa150,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
va100m,1hr,m s-1,Northward Wind at 100m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height100m,real,,,,,
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ta50,mon,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
va150m,1hr,m s-1,Northward Wind at 150m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height150m,real,,,,,
zg750,day,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
mrsol,6hr,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
zg925,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
wa850,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
hus250,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p250,real,,,,,
mrsos,mon,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snc,day,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta150,6hr,K,Air Temperature,air_temperature,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
wa600,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
orog,fx,m,Surface Altitude,surface_altitude,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
wa100,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
hus70,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
wa500,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
