out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
va200m,1hr,m s-1,Northward Wind at 200m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height200m,real,,,,,
wa70,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
cape,1hr,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,TIER2,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ta200,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
wa925,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
hus700,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
hus1000,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
hus70,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
va600,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
hus400,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
zg250,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
wa400,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
prsn,mon,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta100,6hr,K,Air Temperature,air_temperature,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
va250,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
hfso,mon,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
va400,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
wa700,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
va850,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ta50m,1hr,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
wa700,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
zg70,mon,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
ta400,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
hus925,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
va200,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
zg70,6hr,m,Geopotential Height,geopotential_height,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p70,real,,,,,
wsgsmax,day,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,TIER2,,area: mean time: maximum,area: areacella,longitude latitude time height10m,real,,,,,
ua50,day,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
wa1000,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
mrro,6hr,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
va850,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
zg400,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ta300,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
areacella,fx,m2,Atmosphere Grid-Cell Area,cell_area,TIER2,,area: sum,area: areacella,longitude latitude,real,,,,,
ta50,day,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
zg500,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua200m,mon,m s-1,Eastward Wind at 200m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height200m,real,,,,,
ua150,6hr,m s-1,Eastward Wind,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p150,real,,,,,
ta70,day,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
zg700,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
wa750,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
hus750,6hr,1,Specific Humidity,specific_humidity,TIER2,requested by CORDEX-Africa,area: mean time: point,area: areacella,longitude latitude time1 p750,real,,,,,
zg100,mon,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua150m,mon,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height150m,real,,,,,
snw,mon,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
hus500,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
va700,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
ta400,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ua600,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
wa70,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p70,real,,,,,
tauu,day,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
snm,day,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
clwvi,1hr,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
limax,day,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,area: mean time: maximum,area: areacella,longitude latitude time,real,,,,,
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ua925,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
hus30,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p30,real,,,,,
va200,day,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
wsgsmax,mon,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,TIER2,,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height10m,real,,,,,
wa200,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ta750,day,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
zg600,day,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
zg750,mon,m,Geopotential Height,geopotential_height,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
mrfso,6hr,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
ta50,6hr,K,Air Temperature,air_temperature,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p50,real,,,,,
clivi,day,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
wa400,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
wa400,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
va1000,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
zg100,6hr,m,Geopotential Height,geopotential_height,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
hfss,mon,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
va50,6hr,m s-1,Northward Wind,northward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p50,real,,,,,
zg700,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
va10,day,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
ts,1hr,K,Surface Temperature,surface_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
hus10,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
va500,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
hfso,day,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hus100,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg600,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
zg500,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
sund,mon,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",time: sum within days time: mean over days,area: areacella,longitude latitude time,real,,,,,
va925,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
mrso,6hr,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
snc,6hr,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ta10,day,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
ua10,mon,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
ua400,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
tauv,1hr,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta850,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
rlutcs,mon,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ta750,mon,K,Air Temperature,air_temperature,TIER2,requested by CORDEX-Africa,area: time: mean,area: areacella,longitude latitude time p750,real,,,,,
li,mon,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsuscs,day,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
ta50m,day,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus10,mon,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
hus200,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
va400,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ua500,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
wa150,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
ta250,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
va100,6hr,m s-1,Northward Wind,northward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p100,real,,,,,
va70,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
zg70,day,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
wa10,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
va300,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
wa1000,mon,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
prw,day,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
hus30,6hr,1,Specific Humidity,specific_humidity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p30,real,,,,,
clwvi,day,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua100m,1hr,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height100m,real,,,,,
ua250,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p250,real,,,,,
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua200,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
mrso,day,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
hus300,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
hus200,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
zg850,6hr,m,Geopotential Height,geopotential_height,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
wa10,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p10,real,,,,,
rsdt,mon,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
od550aer,mon,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER2,"long_name fixed, 2022.09.22  https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/6",area: time: mean,area: areacella,longitude latitude time,real,,,,,
va600,mon,m s-1,Northward Wind,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
zg100,day,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua300m,day,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height300m,real,,,,,
rsutcs,6hr,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
mrfsos,mon,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: time: mean,area: areacella,longitude latitude time,real,,,,,
clh,6hr,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,TIER2,above 440 hPa,area: time: mean,area: areacella,longitude latitude time,real,,,,,
hus300,mon,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
va850,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
rsut,day,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
snm,mon,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
cin,mon,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
snd,6hr,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
hus1000,6hr,1,Specific Humidity,specific_humidity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
rlutcs,6hr,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zg10,6hr,m,Geopotential Height,geopotential_height,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p10,real,,,,,
va250m,day,m s-1,Northward Wind at 250m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height250m,real,,,,,
ua70,day,m s-1,Eastward Wind,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p70,real,,,,,
ta850,6hr,K,Air Temperature,air_temperature,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
rldscs,day,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ta925,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
rsuscs,mon,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
wa925,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
hus300,day,1,Specific Humidity,specific_humidity,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
rluscs,day,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hus50m,1hr,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
wa500,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ta600,day,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
ua300m,1hr,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 height300m,real,,,,,
hfss,day,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
ua925,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
ta100,day,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
ua700,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ua700,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
hus150,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
va700,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
prc,1hr,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
va50m,1hr,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
ua300,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
wa50,6hr,m s-1,Upward Air Velocity,upward_air_velocity,TIER2,,area: mean time: point,area: areacella,longitude latitude time1 p50,real,,,,,
rlus,mon,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
tas,day,K,Near-Surface Air Temperature,air_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
zg10,mon,m,Geopotential Height,geopotential_height,TIER2,,area: time: mean,area: areacella,longitude latitude time p10,real,,,,,
va30,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p30,real,,,,,
ua1000,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
rsdsdir,mon,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
ta100,mon,K,Air Temperature,air_temperature,TIER2,,area: time: mean,area: areacella,longitude latitude time p100,real,,,,,
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
ua50m,day,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus30,day,1,Specific Humidity,specific_humidity,TIER2,,area: time: mean,area: areacella,longitude latitude time p30,real,,,,,
ta850,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
wa250,day,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
zg300,mon,m,Geopotential Height,geopotential_height,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
va150,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p150,real,,,,,
ua250m,day,m s-1,Eastward Wind at 250m,eastward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time height250m,real,,,,,
va200m,mon,m s-1,Northward Wind at 200m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height200m,real,,,,,
limax,mon,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,TIER2,,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time,real,,,,,
va50,mon,m s-1,Northward Wind,northward_wind,TIER2,,area: time: mean,area: areacella,longitude latitude time p50,real,,,,,
va1000,6hr,m s-1,Northward Wind,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ta500,mon,K,Air Temperature,air_temperature,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua150m,day,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height150m,real,,,,,
